FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
25,0.013547,0.7569,0.04965,-0.13,0.5498,0.028417,-0.19039,0.80827,-0.01647,0.14199,0.52521,0.025161,0.20789,0.77233,-0.016067,-0.21169,1.0316,-0.047812,0.23962,0.99338,-0.052403,-0.073482,0.060043,-0.032566,0.071619,0.052384,-0.033505,-0.12891,-0.36167,-0.051064,0.112,-0.39432,-0.027169,-0.13761,-0.74507,-0.052519,0.12355,-0.75874,-0.059666
26,0.014213,0.75622,0.049518,-0.12918,0.55273,0.029646,-0.18859,0.81152,-0.009855,0.14123,0.5263,0.025279,0.20331,0.76807,-0.008593,-0.20929,1.0353,-0.034524,0.2358,0.99722,-0.040225,-0.073414,0.061572,-0.032149,0.070962,0.053735,-0.033725,-0.12918,-0.36237,-0.051405,0.11176,-0.39517,-0.027239,-0.13791,-0.74687,-0.05295,0.12324,-0.75989,-0.059971
27,0.014951,0.75593,0.049789,-0.12834,0.55559,0.03095,-0.18745,0.81427,-0.004044,0.14047,0.52759,0.025417,0.19954,0.76369,-0.002832,-0.20765,1.0385,-0.023085,0.23256,1.0009,-0.03016,-0.073392,0.062848,-0.031565,0.070316,0.054903,-0.033924,-0.12947,-0.36317,-0.051742,0.11153,-0.39586,-0.027308,-0.13818,-0.74763,-0.0532,0.12288,-0.76107,-0.060247
28,0.015473,0.75556,0.05006,-0.12783,0.55772,0.032243,-0.18681,0.81698,0.00104,0.13953,0.52787,0.025507,0.19606,0.75814,0.001657,-0.20673,1.0412,-0.014008,0.22938,1.0037,-0.021937,-0.073435,0.064104,-0.031001,0.069851,0.055979,-0.034048,-0.12955,-0.36332,-0.051932,0.11152,-0.39586,-0.02726,-0.13829,-0.74763,-0.053209,0.12286,-0.76124,-0.06039
29,0.01603,0.75556,0.050339,-0.12745,0.56055,0.033261,-0.18641,0.82055,0.005964,0.13856,0.52883,0.025474,0.19275,0.7538,0.005904,-0.20699,1.0449,-0.005819,0.22659,1.0069,-0.014337,-0.073472,0.065423,-0.030507,0.069447,0.057159,-0.034166,-0.12963,-0.36332,-0.052092,0.11152,-0.39586,-0.027256,-0.13841,-0.74763,-0.053217,0.12286,-0.76124,-0.060474
30,0.01657,0.75545,0.050623,-0.12704,0.56361,0.034421,-0.18628,0.82471,0.009582,0.13764,0.53,0.025514,0.18969,0.74974,0.009775,-0.20667,1.0472,0.001634,0.2246,1.0106,-0.00868,-0.073506,0.066688,-0.030037,0.069091,0.058363,-0.034235,-0.12971,-0.36332,-0.052237,0.11152,-0.39586,-0.027256,-0.13847,-0.74761,-0.052889,0.12287,-0.76124,-0.060596
31,0.016954,0.75613,0.050725,-0.12671,0.56677,0.035609,-0.18636,0.82863,0.012782,0.13681,0.53207,0.025454,0.18834,0.7453,0.013069,-0.20653,1.0494,0.007882,0.22345,1.0116,-0.003489,-0.073398,0.068118,-0.029588,0.068756,0.059883,-0.034259,-0.12978,-0.36311,-0.052374,0.11159,-0.39562,-0.027153,-0.13845,-0.74669,-0.052303,0.12287,-0.76121,-0.060703
32,0.017237,0.75681,0.050885,-0.12672,0.56818,0.036494,-0.18658,0.83235,0.01582,0.13634,0.53307,0.025474,0.1858,0.74108,0.016328,-0.20649,1.0512,0.013243,0.22207,1.0123,0.000888,-0.073261,0.069449,-0.029176,0.068558,0.061385,-0.034274,-0.12986,-0.36251,-0.052474,0.11165,-0.39482,-0.026997,-0.13846,-0.74587,-0.05201,0.1229,-0.76083,-0.060819
33,0.017396,0.7575,0.051181,-0.12678,0.56961,0.037373,-0.18678,0.83713,0.018583,0.13589,0.53392,0.02563,0.18371,0.73677,0.019248,-0.20655,1.0525,0.018201,0.221,1.012,0.005156,-0.073134,0.070762,-0.028772,0.068362,0.06281,-0.034265,-0.12993,-0.36183,-0.052557,0.11175,-0.39385,-0.026873,-0.1384,-0.74496,-0.051865,0.12295,-0.76039,-0.060866
34,0.017364,0.75821,0.05162,-0.12684,0.57075,0.038211,-0.18688,0.83935,0.019881,0.13546,0.53466,0.025823,0.18324,0.73598,0.020302,-0.20655,1.0534,0.019293,0.22082,1.012,0.007579,-0.073012,0.071957,-0.028428,0.068216,0.064099,-0.034223,-0.12998,-0.36164,-0.052604,0.11185,-0.39268,-0.026743,-0.13836,-0.74416,-0.051861,0.12301,-0.75994,-0.060862
