FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.023011,0.73124,0.006859,-0.19658,0.52062,-0.00873,-0.33359,0.61164,0.022185,0.16835,0.47178,-0.030092,0.37227,0.51546,-0.0567,-0.18018,0.70448,0.015929,0.21119,0.66978,-0.060848,-0.063864,0.001112,-0.030247,0.084548,0.000381,-0.040068,-0.070372,-0.36564,-0.19538,0.089064,-0.33687,0.09666,-0.091855,-0.66965,-0.35088,0.036782,-0.66257,0.24038
1,-0.023254,0.73123,0.006655,-0.19682,0.52053,-0.008741,-0.33418,0.61153,0.022135,0.16823,0.47181,-0.030089,0.3722,0.51582,-0.056884,-0.18116,0.70458,0.021518,0.21287,0.66731,-0.061652,-0.063897,0.000924,-0.030349,0.084413,0.000307,-0.039734,-0.070398,-0.36575,-0.19534,0.089032,-0.33683,0.096656,-0.091981,-0.67012,-0.35113,0.036762,-0.66254,0.24031
2,-0.023513,0.73115,0.006351,-0.19695,0.52048,-0.008759,-0.33466,0.61133,0.02208,0.16813,0.47183,-0.030109,0.37223,0.51623,-0.057302,-0.17999,0.70174,0.021833,0.21439,0.66579,-0.062428,-0.063981,0.001103,-0.03005,0.084352,0.000356,-0.039693,-0.07043,-0.36573,-0.19534,0.088843,-0.33681,0.09681,-0.091478,-0.66811,-0.3498,0.036661,-0.66274,0.24035
3,-0.023526,0.73102,0.006176,-0.19707,0.52043,-0.008795,-0.33528,0.61103,0.021963,0.16811,0.47188,-0.030086,0.37225,0.51634,-0.05746,-0.17951,0.69906,0.02612,0.21305,0.66759,-0.062632,-0.063989,0.001242,-0.029878,0.084305,0.000376,-0.039555,-0.070449,-0.3658,-0.19521,0.088856,-0.33661,0.096782,-0.091811,-0.6688,-0.35032,0.036651,-0.66274,0.24038
4,-0.023609,0.73097,0.005999,-0.19727,0.52045,-0.008706,-0.33543,0.611,0.021901,0.16798,0.47192,-0.030104,0.3723,0.51642,-0.057489,-0.17956,0.69868,0.027067,0.21477,0.66555,-0.063759,-0.06405,0.00138,-0.02938,0.084288,0.00043,-0.039504,-0.07053,-0.3659,-0.19503,0.088896,-0.33688,0.097221,-0.09161,-0.6674,-0.34927,0.036588,-0.66263,0.24043
5,-0.02361,0.73106,0.00584,-0.19731,0.52042,-0.008765,-0.33543,0.61102,0.021817,0.16794,0.47192,-0.030122,0.37232,0.51644,-0.057533,-0.18151,0.70284,0.019326,0.21229,0.66823,-0.063608,-0.064164,0.001705,-0.029093,0.084226,0.000671,-0.039605,-0.070511,-0.36586,-0.19492,0.088963,-0.33686,0.097216,-0.091331,-0.66629,-0.34884,0.036406,-0.66291,0.2406
6,-0.023887,0.7311,0.005915,-0.19735,0.52038,-0.008785,-0.3355,0.611,0.021692,0.16788,0.47196,-0.030121,0.37235,0.51647,-0.057523,-0.18131,0.70255,0.017096,0.21521,0.66422,-0.064804,-0.064123,0.001515,-0.029202,0.084269,0.00064,-0.039454,-0.070522,-0.36587,-0.19469,0.089012,-0.3366,0.097276,-0.091702,-0.66782,-0.34978,0.036394,-0.66285,0.24063
7,-0.023453,0.73121,0.005733,-0.19726,0.5204,-0.008976,-0.33501,0.6113,0.020977,0.16802,0.47195,-0.030142,0.3727,0.5162,-0.057539,-0.17998,0.70261,0.015198,0.21459,0.66592,-0.063672,-0.063853,0.001498,-0.029701,0.084412,0.000508,-0.039438,-0.070485,-0.36572,-0.19476,0.089255,-0.33631,0.096949,-0.091688,-0.66905,-0.35062,0.036574,-0.66279,0.24061
8,-0.023408,0.73122,0.005596,-0.19728,0.5204,-0.009029,-0.33489,0.6113,0.020602,0.16802,0.47197,-0.030152,0.37288,0.5162,-0.057542,-0.17956,0.70196,0.014743,0.21491,0.66555,-0.063864,-0.063787,0.001552,-0.029679,0.084471,0.000537,-0.039419,-0.070476,-0.36574,-0.19467,0.089404,-0.33612,0.096957,-0.091658,-0.6691,-0.35065,0.036562,-0.6628,0.24064
9,-0.023366,0.73123,0.005464,-0.19725,0.5204,-0.009105,-0.33475,0.6113,0.020164,0.16803,0.472,-0.030185,0.37316,0.51616,-0.057616,-0.17947,0.70196,0.013445,0.21513,0.66521,-0.06415,-0.063716,0.001594,-0.029657,0.084557,0.000564,-0.039392,-0.070452,-0.36575,-0.19461,0.089594,-0.33588,0.096949,-0.091647,-0.66912,-0.35068,0.036575,-0.6628,0.24067
